title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Semi-supervised learning for pelvic MR image segmentation based on multi-task residual fully convolutional networks,https://ieeexplore.ieee.org/abstract/document/8363713/,Cited by 15,"https://scholar.google.com/scholar?q=related:ief960N-xw8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",150,All 5 versions,"Z Feng, D Nie, L Wang, D Shen - 2018 IEEE 15th International …, 2018 - ieeexplore.ieee.org","Accurate segmentation of pelvic organs from magnetic resonance (MR) images plays an important role in image-guided radiotherapy. However, it is a challenging task due to inconsistent organ appearances and large shape variations. Fully convolutional network …"
Distillation Guided Residual Learning for Binary Convolutional Neural Networks,https://arxiv.org/abs/2007.05223,Cited by 1,"https://scholar.google.com/scholar?q=related:j6APIYX2LMoJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",151,All 2 versions,"J Ye, S Zhang, J Wang - arXiv preprint arXiv:2007.05223, 2020 - arxiv.org","It is challenging to bridge the performance gap between Binary CNN (BCNN) and Floating point CNN (FCNN). We observe that, this performance gap leads to substantial residuals between intermediate feature maps of BCNN and FCNN. To minimize the performance gap …"
Novel CNN architecture with residual learning and deep supervision for large-scale scene image categorization,https://ieeexplore.ieee.org/abstract/document/7777858/,Cited by 15,"https://scholar.google.com/scholar?q=related:ZAHTPdZ12gAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",152,,"HA Al-Barazanchi, H Qassim… - 2016 IEEE 7th Annual …, 2016 - ieeexplore.ieee.org","One of the most investigated methods to increase the accuracy of convolutional neural networks (CNN) is by increasing its depth. However, increasing the depth also increases the number of parameters, which makes convergence of back-propagation very slow and prone …"
Residual Learning of Video Frame Interpolation Using Convolutional LSTM,https://ieeexplore.ieee.org/abstract/document/9145730/,Cited by 1,"https://scholar.google.com/scholar?q=related:jJY7Pk0RthkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",153,All 2 versions,"K Suzuki, M Ikehara - IEEE Access, 2020 - ieeexplore.ieee.org",Video frame interpolation aims to generate intermediate frames between the original frames. This produces videos with a higher frame rate and creates smoother motion. Many video frame interpolation methods first estimate the motion vector between the input frames and …
Hyperspectral image super-resolution using generative adversarial network and residual learning,https://ieeexplore.ieee.org/abstract/document/8683893/,Cited by 5,"https://scholar.google.com/scholar?q=related:AL9rjQ3i-r0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",154,,"Q Huang, W Li, T Hu, R Tao - ICASSP 2019-2019 IEEE …, 2019 - ieeexplore.ieee.org","Due to the limitation of image acquisition, hyperspectral remote sensing imagery is hard to reflect in both high spatial and spectral resolutions. Super-resolution (SR) is a technique which can improve the spatial resolution. Inspired by recent achievements in deep …"
Fully conv-deconv network for unsupervised spectral-spatial feature extraction of hyperspectral imagery via residual learning,https://ieeexplore.ieee.org/abstract/document/8128169/,Cited by 12,"https://scholar.google.com/scholar?q=related:tFutEU3GQcUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",155,All 5 versions,"L Mou, P Ghamisi, XX Zhu - 2017 IEEE International …, 2017 - ieeexplore.ieee.org","Supervised approaches classify input data using a set of representative samples for each class, known as training samples. The collection of such samples are expensive and time-demanding. Hence, unsupervised feature learning, which has a quick access to arbitrary …"
Residual recurrent highway networks for learning deep sequence prediction models,https://link.springer.com/article/10.1007/s10723-018-9444-4,Cited by 6,"https://scholar.google.com/scholar?q=related:hMYoIO282MUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",156,,"T Zia, S Razzaq - Journal of Grid Computing, 2020 - Springer","A contemporary approach for acquiring the computational gains of depth in recurrent neural networks (RNNs) is to hierarchically stack multiple recurrent layers. However, such performance gains come with the cost of challenging optimization of hierarchal RNNs …"
Single-image super-resolution for remote sensing data using deep residual-learning neural network,https://link.springer.com/chapter/10.1007/978-3-319-70096-0_64,Cited by 14,"https://scholar.google.com/scholar?q=related:QFwAlwevu0gJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",157,,"N Huang, Y Yang, J Liu, X Gu, H Cai - International Conference on Neural …, 2017 - Springer","Single image super-resolution (SISR) plays an important role in remote sensing image processing. In recent years, deep convolutional neural networks have achieved state-of-the-art performance in the SISR field of common camera images. Although the SISR method …"
Symbol denoising in high order m-qam using residual learning of deep cnn,https://ieeexplore.ieee.org/abstract/document/8651830/,Cited by 6,"https://scholar.google.com/scholar?q=related:xzZxj1ucvPQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",158,,"S Khan, KS Khan, SY Shin - 2019 16th IEEE Annual Consumer …, 2019 - ieeexplore.ieee.org",This paper presents an integrating concept of de-noising convolutional neural networks (DnCNN) with quadrature amplitude modulation (QAM) for symbol denoising. DnCNN is used to estimate and denoise the Gaussian noise from the received constellation symbols of …
Deep Residual Learning,http://web.cs.ucdavis.edu/~yjlee/teaching/ecs289g-fall2016/xiaoyun.pdf,Cited by 8,"https://scholar.google.com/scholar?q=related:jiwW2tJp09YJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",159,All 9 versions,"K He, X Zhang, S Ren - Image Recognition, 2015 - cs.ucdavis.edu","3x3 conv, 64 3x3 conv, 64, pool/2 3x3 conv, 128 3x3 conv, 128, pool/2 3x3 conv, 256 3x3 conv, 256 3x3 conv, 256 3x3 conv, 256, pool/2 3x3 conv, 512 3x3 conv, 512 3x3 conv, 512 3x3 conv, 512, pool/2 3x3 conv, 512 3x3 conv, 512 3x3 conv, 512 3x3 conv, 512, pool/2 fc …"
Irnet: A general purpose deep residual regression framework for materials discovery,https://dl.acm.org/doi/abs/10.1145/3292500.3330703,Cited by 14,"https://scholar.google.com/scholar?q=related:nk7JAg3CfjIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",160,All 8 versions,"D Jha, L Ward, Z Yang, C Wolverton, I Foster… - Proceedings of the 25th …, 2019 - dl.acm.org","… scientists. We also show that IRNet's use of individual residual learning leads to better
convergence during the training … We introduce the idea of residual learning to deep
regression networks composed of fully connected layers. In … 
"
Temporally downsampled cerebral CT perfusion image restoration using deep residual learning,https://link.springer.com/article/10.1007/s11548-019-02082-1,Cited by 3,"https://scholar.google.com/scholar?q=related:k91fUiiJnLQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",161,All 9 versions,"H Zhu, D Tong, L Zhang, S Wang, W Wu… - International journal of …, 2020 - Springer","Purpose Acute ischemic stroke is one of the most causes of death all over the world. Onset to treatment time is critical in stroke diagnosis and treatment. Considering the time consumption and high price of MR imaging, CT perfusion (CTP) imaging is strongly …"
Bogie fault diagnosis under variable operating conditions based on fast kurtogram and deep residual learning towards imbalanced data,https://www.sciencedirect.com/science/article/pii/S0263224120307296,Cited by 1,"https://scholar.google.com/scholar?q=related:46mHneuQ4TIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",162,All 3 versions,"Y Geng, Z Wang, L Jia, Y Qin, X Chen - Measurement, 2020 - Elsevier","The condition monitoring of bogies plays an important role in the safe operation of rail transit systems. In practice, it is difficult to diagnose bogies under variable operating conditions for traditional methods. In this paper, deep residual learning is used to deal with this problem by …"
Gradient-guided residual learning for inverse halftoning and image expanding,https://ieeexplore.ieee.org/abstract/document/8908755/,Cited by 2,"https://scholar.google.com/scholar?q=related:MyML8AFJAXYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",163,,"J Yuan, C Pan, Y Zheng, X Zhu, Z Qin, Y Xiao - IEEE Access, 2019 - ieeexplore.ieee.org","Inverse halftoning and image expanding refer to problems to restore the pixel values of images from compressed images of smaller bit depth. Since these two problems are ill-posed, there are few perfect solutions. Recently, deep convolutional neural networks …"
An improved model training method for residual convolutional neural networks in deep learning,https://link.springer.com/article/10.1007/s11042-020-10031-3,Cited by 1,"https://scholar.google.com/scholar?q=related:RPWPt641GgsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",164,,"X Li, R Li, Y Zhao, J Zhao - Multimedia Tools and Applications, 2020 - Springer","Residual convolutional neural network (R-CNN) has become a promising method for image recognition in deep learning applications. The application accuracy, as a key indicator, has a close relationship with filter weights in trained R-CNN models. In order to make filters work …"
RRA: recurrent residual attention for sequence learning,https://arxiv.org/abs/1709.03714,Cited by 13,"https://scholar.google.com/scholar?q=related:t6ZvYztC3bYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",165,All 2 versions,"C Wang - arXiv preprint arXiv:1709.03714, 2017 - arxiv.org","In this paper, we propose a recurrent neural network (RNN) with residual attention (RRA) to learn long-range dependencies from sequential data. We propose to add residual connections across timesteps to RNN, which explicitly enhances the interaction between …"
Residual knowledge distillation,https://arxiv.org/abs/2002.09168,Cited by 10,"https://scholar.google.com/scholar?q=related:4dZ0khB98JsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",166,All 2 versions,"M Gao, Y Shen, Q Li, CC Loy - arXiv preprint arXiv:2002.09168, 2020 - arxiv.org","… Better viewed in color. The contributions of this work are summarized as follows: • We
propose a novel model compression method, RKD, by introducing the residual learning
strategy into the conventional KD method … Residual Learning … 
"
Cascading and enhanced residual networks for accurate single-image super-resolution,https://ieeexplore.ieee.org/abstract/document/9007041/,Cited by 13,"https://scholar.google.com/scholar?q=related:pUFVq2tpL4MJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",167,All 3 versions,"R Lan, L Sun, Z Liu, H Lu, Z Su… - IEEE transactions on …, 2020 - ieeexplore.ieee.org","… Index Terms—Convolutional neural network, multiscale learning, residual learning,
single-image super-resolution (SISR) … In CRN, each group is stacked with several blocks
without extra connections and the block is only based on residual learning … 
"
Attention embedded residual CNN for disease detection in tomato leaves,https://www.sciencedirect.com/science/article/pii/S1568494619307148,Cited by 33,"https://scholar.google.com/scholar?q=related:CYJLZprq3wIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",168,All 3 versions,"R Karthik, M Hariharan, S Anand, P Mathikshara… - Applied Soft …, 2020 - Elsevier","… leaves. The first architecture applies residual learning to learn significant features for
classification. The second architecture applies attention mechanism on top of the
residual deep network … CNN. 3.1. Residual learning based CNN … 
"
Progressive Sub-Band Residual-Learning Network for MR Image Super Resolution,https://ieeexplore.ieee.org/abstract/document/8859355/,Cited by 1,"https://scholar.google.com/scholar?q=related:ibpQ5IKXodcJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",169,All 5 versions,"X Xue, Y Wang, J Li, Z Jiao, Z Ren… - IEEE journal of …, 2019 - ieeexplore.ieee.org","High-resolution (HR) magnetic resonance images (MRI) provide more detailed information for clinical application. However, HR MRI is less available because of the longer scan time and lower signal-to-noise ratio. Spatial resolution is one of the key parameters of MRI. The …"
Barcoding and demultiplexing Oxford Nanopore native RNA sequencing reads with deep residual learning,https://www.biorxiv.org/content/10.1101/864322v1.abstract,Cited by 6,"https://scholar.google.com/scholar?q=related:JpgTtxt2GeQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",170,All 4 versions,"MA Smith, T Ersavas, JM Ferguson, H Liu, MC Lucas… - BioRxiv, 2019 - biorxiv.org","Nanopore sequencing has enabled sequencing of native RNA molecules without conversion to cDNA, thus opening the gates to a new era for the unbiased study of RNA biology. However, a formal barcoding protocol for direct sequencing of native RNA …"
Automated melanoma recognition in dermoscopy images via very deep residual networks,https://ieeexplore.ieee.org/abstract/document/7792699/,Cited by 448,"https://scholar.google.com/scholar?q=related:ESiLR9Aei5sJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",171,All 6 versions,"L Yu, H Chen, Q Dou, J Qin… - IEEE transactions on …, 2016 - ieeexplore.ieee.org","… First, we apply the residual learning to cope with the degradation and overfitting problems when
a network goes deeper … To overcome the degradation problem [32] when a network goes deeper,
we utilize residual learning technique [31] in our framework … 
"
Training very deep networks via residual learning with stochastic input shortcut connections,https://link.springer.com/chapter/10.1007/978-3-319-70096-0_3,Cited by 9,"https://scholar.google.com/scholar?q=related:d8vqOuf3gzMJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",172,All 7 versions,"OK Oyedotun, D Aouada, B Ottersten - International Conference on …, 2017 - Springer","Many works have posited the benefit of depth in deep networks. However, one of the problems encountered in the training of very deep networks is feature reuse; that is, features are 'diluted'as they are forward propagated through the model. Hence, later network layers …"
Listen carefully and tell: an audio captioning system based on residual learning and gammatone audio representation,https://arxiv.org/abs/2006.15406,Cited by 1,"https://scholar.google.com/scholar?q=related:03slRnj7Nb0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",173,All 4 versions,"S Perez-Castanos, J Naranjo-Alcazar… - arXiv preprint arXiv …, 2020 - arxiv.org","Automated audio captioning is machine listening task whose goal is to describe an audio using free text. An automated audio captioning system has to be implemented as it accepts an audio as input and outputs as textual description, that is, the caption of the signal. This …"
"Inception-v4, inception-resnet and the impact of residual connections on learning",https://ojs.aaai.org/index.php/AAAI/article/view/11231,Cited by 6892,"https://scholar.google.com/scholar?q=related:9JM-cwtchGoJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",174,All 20 versions,"C Szegedy, S Ioffe, V Vanhoucke, A Alemi - Proceedings of the AAAI …, 2017 - ojs.aaai.org",Very deep convolutional networks have been central to the largest advances in image recognition performance in recent years. One example is the Inception architecture that has been shown to achieve very good performance at relatively low computational cost …
Compressed sensing and parallel MRI using deep residual learning,http://indexsmart.mirasmart.com/ISMRM2017/PDFfiles/0641.html,Cited by 9,"https://scholar.google.com/scholar?q=related:pZ_i5hYP12UJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",175,All 2 versions,"D Lee, J Yoo, JC Ye - … of the 25st Annual Meeting of …, 2017 - indexsmart.mirasmart.com","A deep residual learning algorithm is proposed to reconstruct MR images from highly down-sampled k-space data. After formulating a compressed sensing problem as a residual regression problem, a deep convolutional neural network (CNN) was designed to learn the …"
Learning to denoise and decode: A novel residual neural network decoder for polar codes,https://ieeexplore.ieee.org/abstract/document/9109744/,Cited by 1,"https://scholar.google.com/scholar?q=related:OM9CwOYxjMgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",176,,"H Zhu, Z Cao, Y Zhao, D Li - IEEE Transactions on Vehicular …, 2020 - ieeexplore.ieee.org","Polar codes are known as the first capacity-achievable codes with low encoding and decoding complexity. The sequential decoding nature of traditional polar decoding algorithms such as successive cancellation (SC) results in high decoding latency, which is …"
VoxResNet: Deep voxelwise residual networks for brain segmentation from 3D MR images,https://www.sciencedirect.com/science/article/pii/S1053811917303348,Cited by 395,"https://scholar.google.com/scholar?q=related:WPqL9bSGZLUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",177,All 9 versions,"H Chen, Q Dou, L Yu, J Qin, PA Heng - NeuroImage, 2018 - Elsevier","… The main merit of residual learning is that it can alleviate the degradation problem when
training a deep network so that the performance gains achieved by increasing the network
depth can be fully leveraged … 2.2. Deep residual learning … 
"
Deep spatio-temporal residual neural networks for road-network-based data modeling,https://www.tandfonline.com/doi/abs/10.1080/13658816.2019.1599895,Cited by 21,"https://scholar.google.com/scholar?q=related:X9HBGkY9ZVgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",178,All 2 versions,"Y Ren, T Cheng, Y Zhang - International Journal of Geographical …, 2019 - Taylor & Francis","… The proposed model constructs locally-connected neural network layers (LCNR) to model
road network topology and integrates residual learning to model the spatio-temporal
dependency … Moreover, we employ residual learning (He et al … 
"
The effects of computer-based training on immediate and residual learning of nursing facility staff,https://www.healio.com/nursing/journals/jcen/2004-7-35-4/%7Bf7d4573e-2898-488b-b9b4-81905764c60c%7D/the-effects-of-computer-based-training-on-immediate-and-residual-learning-of-nursing-facility-staff,Cited by 43,"https://scholar.google.com/scholar?q=related:UjYjejQNxTIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",179,All 4 versions,"SS Harrington, BL Walker - The Journal of Continuing Education in …, 2004 - healio.com","Nursing facility administrators must find new and innovative ways to meet the training needs of their staff. In this article, researchers discuss the effectiveness of computer-based training compared with the traditional instructor-led format. The computer-based and instructor-led …"
Multi-frame super resolution with deep residual learning on flow registered non-integer pixel images,https://ieeexplore.ieee.org/abstract/document/8803156/,Cited by 3,"https://scholar.google.com/scholar?q=related:zfsHMtp0DzIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",180,All 2 versions,"DF Noor, L Li, Z Li… - 2019 IEEE International …, 2019 - ieeexplore.ieee.org","Super-Resolution (SR) of low-quality images is an important topic of research in image processing and computer vision field. Using multi-frame, super-resolution algorithm can reconstruct high-resolution images by incorporating the information of the subsequent …"
An entropy-based algorithm with nonlocal residual learning for image compressive sensing recovery,https://www.mdpi.com/1099-4300/21/9/900,Cited by 3,"https://scholar.google.com/scholar?q=related:YOwv-0b4HwIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",181,All 5 versions,"Z Xie, L Liu, C Yang - Entropy, 2019 - mdpi.com","Image recovery from compressive sensing (CS) measurement data, especially noisy data has always been challenging due to its implicit ill-posed nature, thus, to seek a domain where a signal can exhibit a high degree of sparsity and to design an effective algorithm …"
Stable polyp‐scene classification via subsampling and residual learning from an imbalanced large dataset,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/htl.2019.0079,Cited by 2,"https://scholar.google.com/scholar?q=related:MvvtmOXoyegJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",182,All 7 versions,"H Itoh, H Roth, M Oda, M Misawa, Y Mori… - Healthcare …, 2019 - Wiley Online Library","This Letter presents a stable polyp‐scene classification method with low false positive (FP) detection. Precise automated polyp detection during colonoscopies is essential for preventing colon‐cancer deaths. There is, therefore, a demand for a computer‐assisted …"
Interactive Multi-Dimension Modulation with Dynamic Controllable Residual Learning for Image Restoration,https://link.springer.com/content/pdf/10.1007/978-3-030-58565-5_4.pdf,Cited by 1,"https://scholar.google.com/scholar?q=related:9obVtTrCkzsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",183,All 5 versions,"J He, C Dong, Y Qiao - arXiv preprint arXiv:1912.05293, 2019 - Springer","Interactive image restoration aims to generate restored images by adjusting a controlling coefficient which determines the restoration level. Previous works are restricted in modulating image with a single coefficient. However, real images always contain multiple …"
Deep Siamese Cross Residual Learning for Robust Visual Tracking,https://ieeexplore.ieee.org/abstract/document/9293326/,,"https://scholar.google.com/scholar?q=related:HUtxBmmRKJUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",184,,"F Wu, T Xu, J Guo, B Huang, C Xu… - IEEE Internet of Things …, 2020 - ieeexplore.ieee.org","The sixth generation (6G) wireless technology contributes to the establishment of Internet of Things (IoT). Recently, IoT has become popular because of its smart architectures and various applications. Among these applications, intelligent urban surveillance systems for …"
GTP-PNet: A residual learning network based on gradient transformation prior for pansharpening,https://www.sciencedirect.com/science/article/pii/S092427162030352X,,"https://scholar.google.com/scholar?q=related:BhYmgofVKA4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",185,All 2 versions,"H Zhang, J Ma - ISPRS Journal of Photogrammetry and Remote …, 2021 - Elsevier","Pansharpening aims to fuse low-resolution multi-spectral image and high-resolution panchromatic (PAN) image to produce a high-resolution multi-spectral (HRMS) image. In this paper, a new residual learning network based on gradient transformation prior, termed …"
Seismic data denoising by deep-residual networks,https://library.seg.org/doi/abs/10.1190/segam2018-2998619.1,Cited by 16,"https://scholar.google.com/scholar?q=related:q1PN0bkhIPcJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",186,All 3 versions,"Y Jin, X Wu, J Chen, Z Han, W Hu - SEG Technical Program …, 2018 - library.seg.org","… In this work, we proposed a novel denoising approach that utilizes the deep residual
learning framework. In the subsequent sections, we will first introduce the residual
learning framework. Then we will overview the network structure … 
"
RLDD: An Advanced Residual Learning Diagnosis Detection System for COVID-19 in IIoT,https://ieeexplore.ieee.org/abstract/document/9325565/,,,187,,"M Zhang, R Chu, C Dong, J Wei, W Lu… - IEEE Transactions on …, 2021 - ieeexplore.ieee.org","Due to the fast transmission speed and severe health damage, COVID-19 has attracted global attention. Most diagnostic methods for COVID-19 is based on Nucleic Acid Testing (NAT), which is expensive and time-consuming. This paper investigates the feasibility of …"
Deep residual learning for image demosaicing and blind denoising,https://www.researchgate.net/profile/Hanlin_Tan/publication/327034648_Deep_Residual_Learning_for_Image_Demosaicing_and_Blind_Denoising/links/5b73da52a6fdcc87df7e4d55/Deep-Residual-Learning-for-Image-Demosaicing-and-Blind-Denoising.pdf,Cited by 7,"https://scholar.google.com/scholar?q=related:Xz_GV3S-v38J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",188,,"H Tan, H Xiao, S Lai, Y Liu, M Zhang - Pattern Recognition Letters, 2018 - researchgate.net","In traditional camera pipelines, demosaicing and denoising are sequentially executed with manually designed filters. Sequential demosaicing and denoising may degrade the performance of each other while handcrafted filters cannot perform as well as the learned …"
Intelligent shot gather reconstruction using residual learning networks,https://library.seg.org/doi/abs/10.1190/segam2018-2997541.1,Cited by 5,"https://scholar.google.com/scholar?q=related:G2-xUd0q2GkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",189,All 2 versions,"B Wang, N Zhang, W Lu - SEG Technical Program Expanded …, 2018 - library.seg.org","The minimum distance between adjacent shots is always “larger” than that of adjacent receivers in each shot, and the inconsistency can decrease the performance of migration. Interpolation methods can improve the data consistency, while most methods are suitable for …"
Image interpolation using convolutional neural networks with deep recursive residual learning,https://link.springer.com/article/10.1007/s11042-019-7633-1,Cited by 3,"https://scholar.google.com/scholar?q=related:1fyYGlAWyUEJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",190,All 2 versions,"KW Hung, K Wang, J Jiang - Multimedia Tools and Applications, 2019 - Springer","Recent developments of image super-resolution often utilize the deep convolutional neural network (CNN) and residual learning to relate the observed low-resolution pixels and unknown high-resolution pixels. However, image interpolation assumes that the observed …"
Image super-resolution based on two-level residual learning CNN,https://link.springer.com/article/10.1007/s11042-018-6751-5,Cited by 3,"https://scholar.google.com/scholar?q=related:2NeHqimwK5UJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",191,All 2 versions,"M Gao, XH Han, J Li, H Ji, H Zhang, J Sun - Multimedia Tools and …, 2020 - Springer","In recent years, CNN has been used for single image super-resolution (SR) with its success of in the field of computer vision. However, in the recovery process, there are always some high-frequency components that cant be recovered from low-resolution images to high …"
Numerical solution for high-dimensional partial differential equations based on deep learning with residual learning and data-driven learning,https://link.springer.com/article/10.1007/s13042-021-01277-w,,,192,,"Z Wang, F Weng, J Liu, K Cao, M Hou… - … of Machine Learning and …, 2021 - Springer",Solving high-dimensional partial differential equations (PDEs) is a long-term computational challenge due to the fundamental obstacle known as the curse of dimensionality. This paper develops a novel method (DL4HPDE) based on residual neural network learning with data …
Attention-aware Residual Network based Manifold Learning for White Blood Cells Classification,https://ieeexplore.ieee.org/abstract/document/9152106/,Cited by 1,"https://scholar.google.com/scholar?q=related:x1MCz2M0N1wJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",193,All 3 versions,"P Huang, J Wang, J Zhang, Y Shen… - IEEE Journal of …, 2020 - ieeexplore.ieee.org","The classification of six types of white blood cells (WBCs) is considered essential for leukemia diagnosis, while the classification is labor-intensive and strict with the clinical experience. To relieve the complicated process with an efficient and automatic method, we …"
Wavelet domain residual network (WavResNet) for low-dose X-ray CT reconstruction,https://arxiv.org/abs/1703.01383,Cited by 31,"https://scholar.google.com/scholar?q=related:HbTCIW3qOO4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",194,All 4 versions,"E Kang, JC Ye - arXiv preprint arXiv:1703.01383, 2017 - arxiv.org","… to the radiologists. To cope with this problem, here we propose a direct residual
learning approach on directional wavelet domain to solve this problem and to improve
the performance against previous work. In particular, the … 
"
Residual D2NN: training diffractive deep neural networks via learnable light shortcuts,https://www.osapublishing.org/abstract.cfm?uri=ol-45-10-2688,Cited by 7,"https://scholar.google.com/scholar?q=related:cDmpBNBocpwJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",195,All 6 versions,"H Dou, Y Deng, T Yan, H Wu, X Lin, Q Dai - Optics letters, 2020 - osapublishing.org","… We introduce the residual D2NNs (Res-D2NN), which enables us to train substantially deeper
diffractive networks by constructing diffractive residual learning blocks to learn the residual
mapping functions … We note here that the residual learning unit connects a direct identity … 
"
Multi-Scale Gradients Self-Attention Residual Learning for Face Photo-Sketch Transformation,https://ieeexplore.ieee.org/abstract/document/9225019/,,"https://scholar.google.com/scholar?q=related:7upS-rTl97MJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",196,,"S Duan, Z Chen, QMJ Wu, L Cai… - IEEE Transactions on …, 2020 - ieeexplore.ieee.org","Face sketch synthesis, as a key technique for solving face sketch recognition, has made considerable progress in recent years. Due to the difference of modality between face photo and face sketch, traditional exemplar-based methods often lead to missed texture details …"
MR image super-resolution via wide residual networks with fixed skip connection,https://ieeexplore.ieee.org/abstract/document/8371605/,Cited by 37,"https://scholar.google.com/scholar?q=related:ICx2TfXHmJwJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",197,All 5 versions,"J Shi, Z Li, S Ying, C Wang, Q Liu… - IEEE journal of …, 2018 - ieeexplore.ieee.org","… To address these problems, in this work, a progressive wide residual network with a fixed skip
connection (named FSCWRN) based SR algorithm is proposed to reconstruct MR images, which
combines the global residual learning and the shallow network based lo- cal residual … 
"
Non-intrusive load disaggregation based on deep dilated residual network,https://www.sciencedirect.com/science/article/pii/S037877961930046X,Cited by 31,"https://scholar.google.com/scholar?q=related:eiOPk2-4NksJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",198,All 2 versions,"M Xia, K Wang, X Zhang, Y Xu - Electric Power Systems Research, 2019 - Elsevier","… efficiency. • The residual learning can improve the ability of extracting data features. •
The difficulty … gradient. The residual learning can improve the depth of the network
and the ability of extracting data features. The difficulty … 
"
Dense residual convolutional neural network based in-loop filter for HEVC,https://ieeexplore.ieee.org/abstract/document/8698740/,Cited by 15,"https://scholar.google.com/scholar?q=related:7-Xo5iguflMJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",199,,"Y Wang, H Zhu, Y Li, Z Chen… - 2018 IEEE Visual …, 2018 - ieeexplore.ieee.org","… Taking advantage of both dense shortcuts and residual learning, DRN efficiently exploits the
multi-level features to restore the high quality image from the degraded one … The employ of
residual learning contributes to faster convergence and easier training … 
"
Retinal Vessel Segmentation by Deep Residual Learning with Wide Activation,https://www.hindawi.com/journals/cin/2020/8822407/,,"https://scholar.google.com/scholar?q=related:dhVdUpE-33cJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",200,All 6 versions,"Y Ma, X Li, X Duan, Y Peng, Y Zhang - Computational Intelligence and …, 2020 - hindawi.com","Purpose. Retinal blood vessel image segmentation is an important step in ophthalmological analysis. However, it is difficult to segment small vessels accurately because of low contrast and complex feature information of blood vessels. The objective of this study is to develop …"
